ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:45:21-04:00,410698,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,3,64839450919868,22041908313344324,-379465036276912,1648746001,-379759200693160,-438756419484738
2022-03-31 19:45:21-04:00,410699,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,0,231849958237,-65372610084160,499051393202862,0,1570835762272003,499406052375777
2022-03-31 19:45:21-04:00,410700,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,7,-118653526,22541546811,275517869181342,1648746012,276044246218423,273594101653948
2022-03-31 19:45:21-04:00,410701,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,6,712462634,-2413008762539,11836201193680,1648746025,14080933341774,11865727097012
2022-03-31 19:45:25-04:00,410702,CuuNaNGjVhcG4MWvsS99PbpvZ6r1SpTDy1ViW5Q2NacH,9t9HJt5rshZoVVvYrFDgVarY1oJWzSzN9zmsSH88WRu9,15,-1682901394465,142493778534497328,150685832,0,1331720830,1331720830
2022-03-31 19:45:25-04:00,410703,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,10,402032568582,-80373292862648315,2674224193589,1648764085,2674724400255,2674724400255
2022-03-31 19:45:25-04:00,410704,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,11,717914054,-3988519987695,95047730902440,1648764007,95065730412440,95065730412440
2022-03-31 19:45:25-04:00,410705,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,12,-4629796475169,-3208263544082228,35063890359365,1648764110,49308001285050,34919581875615
2022-03-31 19:45:25-04:00,410706,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,13,1488062290746,-560518543057360130,-72892469988,1648764182,-72626990405,-72626990405
2022-03-31 19:45:25-04:00,410707,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,14,3116921244490,-6049024280964751,2089190110395,1648764014,2140717779978,2140717779978
